Type,Host,Value,Priority,Port,Weight,Flags,Tag
A,mail,213.171.216.40,,,,,
A,mailserver,213.171.216.40,,,,,
A,mcp,213.171.195.10,,,,,
A,smtp,213.171.216.50,,,,,
A,webmail,213.171.216.231,,,,,
A,,185.199.108.153,,,,,
A,,185.199.111.153,,,,,
A,,185.199.109.153,,,,,
A,,185.199.110.153,,,,,
MX,,SMTP.GOOGLE.COM,1,,,,
CNAME,www,lucasforde.github.io,,,,,
TXT,_dmarc,"v=DMARC1; p=none",,,,,
TXT,google._domainkey,v=DKIM1;k=rsa;p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApjmVL4ByaEdQMJVbqINr3//UX9tVtyy+GLoEzWLY6J3dv+bpdVXr6zt8T/0BFJvGHT4ygVBWjRePzo72bFRS/fmjRUJbbrTN7Xmg/0RI2CdWfFhE6ivlB9ht32eaJy8rb3vtWnvjM6GKUjibS2tgzwhkXpGYyfiaHleSLlR01KArUUSsGFYxigBGLJViH4ro95et+RAwceGQS8nwcdt7itJCvtQn4hmSvaBxWBj5xSi6tjnoR7x2Y/kfWk8AaNusYIRho1tx1ueP0AO3TBqKu0AQVyJBa44G/Yp5HFX5Kcq8c11FpzZ/MSzx0RHF3W8DxyTeP7zZbqXd6ZzuF6w/3wIDAQAB,,,,,
TXT,,google-site-verification=PC-c0IuCC4HOR0o_MKg3ppei23v0dspYzRLBThVmTIQ,,,,,
TXT,,"v=spf1 include:_spf.google.com ~all",,,,,
